play_id,clip_file,game_id,offense,defense,quarter,clock,down,distance,yard_line,play_type,play_subtype,result_yards,outcome,first_down,touchdown,turnover,penalty,camera_angle,clip_start,tracking,clip_end,play_description
pass_008,pass_008.mp4,NE_KC_2019_AFCCG,KC,NE,3,1:09,1,10,NE47,pass,short_right,33,complete,1,0,0,0,all22,00:53:07,00:53:10,00:53:23,Mahomes to Damien Williams for 33 yards
pass_009,pass_009.mp4,NE_KC_2019_AFCCG,KC,NE,4,14:56,1,1,NE1,pass,touchdown_pass,1,complete,1,1,0,0,all22,00:54:40,00:54:43,00:54:56,Mahomes to Damien Williams for 1-yard touchdown
run_011,run_011.mp4,NE_KC_2019_AFCCG,NE,KC,4,13:51,2,9,NE44,run,up_middle,10,rush,1,0,0,0,all22,00:57:23,00:57:25,00:57:36,Michel up the middle for 10 yards
run_012,run_012.mp4,NE_KC_2019_AFCCG,KC,NE,4,9:33,1,10,KC25,run,up_middle,2,rush,0,0,0,0,all22,01:00:42,01:00:45,01:00:54,Damien Williams up the middle for 2 yards
pass_010,pass_010.mp4,NE_KC_2019_AFCCG,NE,KC,4,8:28,2,8,NE30,pass,deep_left,0,interception,0,0,1,0,all22,01:03:19,01:03:22,01:03:38,Brady intended for Edelman; intercepted by Sorensen
pass_011,pass_011.mp4,NE_KC_2019_AFCCG,KC,NE,4,7:52,2,10,NE23,pass,touchdown_pass,23,complete,1,1,0,0,all22,01:04:26,01:04:29,01:04:44,Mahomes to Damien Williams for 23-yard touchdown
run_013,run_013.mp4,NE_KC_2019_AFCCG,NE,KC,4,6:10,1,10,KC44,run,left_tackle,14,rush,1,0,0,0,all22,01:08:31,01:08:34,01:08:43,Burkhead left tackle for 14 yards
run_014,run_014.mp4,NE_KC_2019_AFCCG,NE,KC,4,3:50,4,1,KC10,run,rush_touchdown,10,rush,1,1,0,0,all22,01:10:40,01:10:43,01:10:54,Michel 10-yard touchdown run on 4th-and-1
pass_012,pass_012.mp4,NE_KC_2019_AFCCG,KC,NE,4,2:55,2,10,NE40,pass,short_left,38,complete,1,0,0,1,all22,01:15:00,01:15:04,01:15:15,Mahomes to Watkins for 38 yards
run_015,run_015.mp4,NE_KC_2019_AFCCG,KC,NE,4,2:35,1,2,NE2,run,rush_touchdown,2,rush,1,1,0,0,all22,01:15:30,01:15:34,01:15:42,Damien Williams 2-yard touchdown run
pass_013,pass_013.mp4,NE_KC_2019_AFCCG,NE,KC,4,0:54,3,5,KC29,pass,deep_left,25,complete,1,0,0,0,all22,01:19:36,01:19:39,01:19:53,Brady to Gronkowski for 25 yards
pass_014,pass_014.mp4,NE_KC_2019_AFCCG,KC,NE,4,0:23,1,10,NE48,pass,deep_left,27,complete,1,0,0,1,all22,01:22:18,01:22:21,01:22:37,Mahomes to Demarcus Robinson for 27 yards; defensive offside declined
pass_015,pass_015.mp4,NE_KC_2019_AFCCG,NE,KC,OT,13:40,3,10,NE35,pass,short_middle,20,complete,1,0,0,0,all22,01:26:43,01:26:46,01:27:00,Brady to Edelman for 20 yards
